us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,dt,
17440872,3045.3,2664.2,1.143,1093.5,0.049,-0.957,,-0.0001182499,-0.0001546345,,,,,,-0.0004165332,2.541760386E-009,5709.5,0.03121,32.041012496
17473853,3041.4,2659.1,1.1438,1090,0.023,-0.796,,-0.000057721,-8.488387885E-005,,,,,,-0.0002728844,4.602652178E-009,5700.5,0.032981,30.3204875534
17503305,3039.7,2656.6,1.1442,1086.7,0.014,-0.306,,0.000012816,-0.00003204,,,,,,-0.0001426049,0.000000004,5696.3,0.029452,33.9535515415
17534516,3040.1,2655.6,1.1448,1085.5,0.018,0.138,,7.356468895E-005,-6.396929474E-006,,,,,,-0.000019224,4.189220594E-009,5695.7,0.031211,32.0399859024
17565781,3042.4,2655.4,1.1457,1086.8,0.031,0.405,,9.611687812E-005,0,,,,,,6.716775948E-005,2.767990485E-009,5697.8,0.031265,31.9846473693
17596993,3045.4,2655.4,1.1469,1089.7,0.036,0.158,,7.694280585E-005,1.923570146E-005,,,,,,9.611687812E-005,9.259273516E-010,5700.8,0.031212,32.0389593746
17628185,3047.8,2656,1.1475,1092.3,0.021,-0.474,,1.28102482E-005,4.163330665E-005,,,,,,9.617850731E-005,0,5703.8,0.031192,32.0595024365
17659410,3048.2,2657.3,1.1471,1093,-0.014,-1.118,,-8.650519031E-005,6.407791875E-005,,,,,,5.444355484E-005,-1.33800181E-009,5705.5,0.031225,32.0256204964
17690622,3045.5,2659.3,1.1452,1091.4,-0.059,-1.443,,-0.0001631217,8.63585479E-005,,,,,,-2.242727156E-005,-2.461835914E-009,5704.8,0.031212,32.0389593746
17721887,3040.4,2662,1.1422,1088.6,-0.099,-1.276,,-0.0001797234,0.0001187458,,,,,,-7.676315369E-005,-1.74086512E-009,5702.4,0.031265,31.9846473693
17753046,3034.8,2665.7,1.1385,1086.3,-0.118,-0.63,,-0.0001152258,0.000147233,,,,,,-6.097756667E-005,5.048964341E-010,5700.5,0.031159,32.0934561443
17784289,3031.2,2670.3,1.1352,1086.2,-0.106,0.404,,9.607070804E-006,0.0001569155,,,,,,3.200716961E-005,0.000000003,5701.5,0.031243,32.007169606
17815516,3031.5,2675.2,1.1332,1088.3,-0.063,1.37,,0.0001407324,0.0001343355,,,,,,0.0001665226,4.305456934E-009,5706.7,0.031227,32.023569347
17846781,3035.9,2679.4,1.133,1091.6,-0.004,1.875,,0.0002402922,0.0001025247,,,,,,0.000275068,3.476011361E-009,5715.3,0.031265,31.9846473693
17877993,3043.4,2682.6,1.1345,1094.1,0.047,1.645,,0.0002819971,8.331731077E-005,,,,,,0.0003428169,2.16692461E-009,5726,0.031212,32.0389593746
17909199,3052.2,2685.2,1.1367,1094.4,0.07,0.741,,0.0002723137,0.0001025181,,,,,,0.0003653144,7.207964025E-010,5737.4,0.031206,32.0451195283
