us,Red,IR,Ratio,Ambient,drdt,ddrdt,R+IR,dRed/dt (~7sec),dIR/dt,dRed/dIR,dRed*dIR/dt,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,,Notes
304661337,-10.1,-7.8,0.77612,4.8,8.655,12.241,-17.9,0.0002049902309,0.0002690496781,1.3125,0.00172191794,0.00000005515255565,0.000000003692830356,0.00603824349,0.000474039909,0.000000002979845386,-17.9,,
304692562,-0.9,-1.2,0.7233,3.9,-18.129,-857.773,-2.1,0.0002946357086,0.0002113690953,0.7173913043,0.001944595677,0.00000006227688316,0.000000002871319869,0.002488390713,0.0005060048038,0.000000001023826745,-2.1,,
304723760,9.2,4.3,1.03306,1.5,46.036,2056.718,13.5,0.0003237387012,0.0001762933521,0.5445544554,0.001780562857,0.00000005707298085,0.0000000009320413973,0.001302647606,0.0005000320533,-0.000000000191281041,13.5,,
304755025,18.1,10.3,0.94534,-0.9,-12.828,-1882.751,28.4,0.0002846633616,0.0001919078842,0.6741573034,0.00170798017,0.00000005462914344,-0.000000001252495019,0.004697585159,0.0004765712458,-0.0000000007519971644,28.4,,
304786231,24.4,18.4,0.8509,-1.4,-13.931,-35.345,42.8,0.000201884253,0.0002595654682,1.285714286,0.00163526245,0.00000005240218066,-0.000000002647660597,0.00841280523,0.0004614497212,-0.0000000004836566318,42.8,,
304817443,27.4,28.4,0.9656,0.6,-11.474,78.714,55.8,0.00009611687812,0.0003203895937,3.333333333,0.0009611687812,0.00000003079484753,-0.000000003389328171,0.01054722543,0.0004165064719,-0.000000001440211797,55.8,,
304848668,27.4,37.9,0.7227,4,-7.779,118.341,65.3,0,0.0003042433947,#DIV/0!,0,0,-0.000000003079484753,0.008336269015,0.0003042433947,-0.000000003596792168,65.3,,
304879879,25.7,44.2,0.5811,6.9,-4.54,103.786,69.9,-0.00005446797603,0.0002018519112,-3.705882353,-0.000343148249,-0.00000001099446506,-0.00000000174437073,0.003123257826,0.0001473839352,-0.000000005023521523,69.9,,
304911116,23.7,45.2,0.5246,7.6,-1.808,87.46,68.9,-0.00006402663508,0.00003201331754,-0.5,-0.00006402663508,-0.000000002049705,-0.0000000003062593011,-0.002071261645,-0.00003201331754,-0.000000005747885447,68.9,,
304942303,22,40.3,0.5442,5.6,0.63,78.15,62.3,-0.00005450989194,-0.0001571167474,2.882352941,0.0002670984705,0.000000008564416921,0.00000000030466252,-0.005920415558,-0.0002116266393,-0.000000005750018304,62.3,,
304973562,19.3,30.5,0.6337,1.9,2.862,71.411,49.8,-0.00008637512396,-0.0003135097092,3.62962963,0.0008464762149,0.00000002707944,-0.000000001021747267,-0.009531654883,-0.0003998848332,-0.00000000603643165,49.8,,
305004774,13.8,17.5,0.7868,-1.2,4.905,65.463,31.3,-0.0001762142766,-0.0004165064719,2.363636364,0.002290785595,0.00000007339438662,-0.000000002874025164,-0.01112232475,-0.0005927207484,-0.000000006168972624,31.3,,
